seed,eval,time,numEvals,ind,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
13,14.173923,28741,1050006,1.282223507209463,1.324496560115274,1.412054140800215,1.281150792351178,1.323397402966677,1.589767181033434,2.000881737954262,2.131439497042284,4.978284459079695,4.999906224185082,0.423957071089469,0.586122603523898,1.000000000000000,0.829851899038452,0.662336235919842,0.708139872682015,0.415828599486229,0.603251635272767,0.827863161752259,0.999999996509393,0.622806457757474,0.619487572889787,0.519226557989241,0.162047211250934,0.302952075457711,17.707937967815535,6.488825778345236,9.222098271468308,10.102233285817325,3.539148315557595,3.472271527335526,10.000275009913785,14.231841797735922,18.057137485677632,24.398328064851856,7.029265175703141,24.502809745239854,23.543973762442824,5.020751377813453,16.733445855677299,14.173922656593074
27,14.301565,28814,1050005,1.119856325421502,1.092049173096127,1.110563453433721,1.304783999692212,1.151039818883140,1.302343642942336,1.634067776827877,1.911900693287462,3.581622514521219,4.906315833972984,0.404187445173000,0.557041838640963,0.999999999922461,0.814721168972479,0.689734256609419,0.681149186718930,0.392286642326472,0.588378055645897,0.500489753016247,0.480649190689568,0.618648735904879,0.595848131833204,0.426013306009235,0.537859368110901,0.248835445437683,9.348209856623446,5.919231502746374,9.095789240617383,20.425542421525690,2.010731764966757,3.411198144982888,7.211135962567575,8.288680473037521,8.294312105568639,17.978006549596443,7.211693221057803,14.501418790939577,9.986858538885485,20.561936433546378,13.152984136822830,14.301564787818941
11,14.535801,28841,1050005,1.211582975483411,1.167038203123316,1.915804613078332,1.275463310903751,1.149815394970740,1.165560242098090,2.227031379379966,1.681848751649154,4.017210363758225,4.882229301560260,0.414431475830503,0.550629895380640,0.695144621038892,0.774651048204322,0.674391861729635,0.646902352501722,0.389477222951293,0.605096393898901,0.515053133918586,0.518931961756584,0.676237838670283,0.564178044115803,0.279500867837571,0.491582511150123,0.294860468112781,17.294587222878437,5.825008605339365,22.907139977354461,8.822284175061001,10.392806832308494,3.939541481136713,7.797491424535444,6.655593687800153,16.989838089412483,21.070411548104978,20.922815858305988,7.296840360126149,13.268618805830609,7.003281310363576,15.418758067033715,14.535800542071854
29,13.522763,28907,1050007,1.309569463156740,1.528369053031503,1.339782643030357,0.845989764980619,1.324907588809824,1.419646460195503,1.703842979748150,1.976212130536543,4.378779733122740,3.911008900332569,0.462796638771967,0.611762304931141,0.756416460025054,0.999999998235131,0.681211910404247,0.440065215251398,0.449233251056651,0.624377730455809,0.791318984029460,0.999999998012715,0.644890079411565,0.564560920033000,0.525656533837690,0.106384229669784,0.241335105877457,17.992176595084401,7.735003734201684,11.925413340541599,23.226101035015936,3.538162373473954,2.577272778720115,10.677728547416601,6.002774897800735,16.144406149796036,7.688172177466679,5.277523163174204,17.457906688090890,10.591379460273676,22.839763674302854,3.361283484894325,13.522762941374761
21,13.590904,28916,1050005,1.158830028566257,1.536577405230393,1.306356406294987,0.843190634292362,1.168096730086369,1.383737554839283,1.863759510133801,1.791676126289575,4.560561291778818,4.860736624623052,0.409553962293993,0.588187347953653,0.776310258265499,0.999999996649137,0.659911169913466,0.465217823210014,0.397223734132944,0.607241339424666,0.999999961326509,0.848590770465088,0.626671522581641,0.522789813693100,0.471838617489932,0.375909178351299,0.293620524374333,9.002218341368250,7.984900521455664,14.190895347596741,16.133096795471967,3.252960878243191,2.160537600803937,8.384495647819420,6.204196339239209,6.913209908808099,20.237444624916179,7.548101414119098,6.126903151524231,24.898095523735147,24.407761462213144,17.899030883369185,13.590904389075488
3,13.813293,29154,1050007,1.235685898581352,1.240659943835777,1.764548160967391,0.910131711121585,1.197054310850251,1.456855271006375,2.021692204911309,1.745991547108812,3.965955947490485,4.877707243392477,0.414850534343641,0.562981527558855,0.999999995486771,0.859993224175385,0.619961691370501,0.514683883310563,0.399865437526521,0.615137161434624,0.721392450380346,0.728113331677585,0.647573866792553,0.532070969852871,0.447569665719633,0.410885177191145,0.275738044115161,12.001542303590179,5.148478307499061,14.377712382663355,15.209975306568074,6.945658689718799,2.943125826259905,8.092041496886743,7.024939957337715,12.862635461525403,20.575247654129629,11.102368812616296,6.948836753062941,8.556369029640197,16.429022548840851,14.213229286261791,13.813293009621357
12,14.142554,29196,1050006,1.309550648879468,1.395498022271449,2.271565096874204,1.139463876526664,1.333922279081189,1.188769038915910,1.418260379633587,1.987696782786895,3.810743338555142,4.999999998501377,0.423858765275500,0.609094698554052,0.987902146290172,0.821170511439475,0.642677955203228,0.524314880356535,0.423103007288356,0.586719988323224,0.775548809322594,0.999999998970169,0.654541416034247,0.567655034754999,0.491923875818231,0.421694644818175,0.253135508888300,17.802319329963850,6.054700538851999,10.871148994689963,21.183993463201769,16.182658327664899,3.877614638669162,15.640559152203799,5.587082966306269,9.000001136744554,3.764155603261765,4.306645115509458,10.559696022514241,8.042853339170319,8.125904043425677,20.816085584767812,14.142554107941002
9,14.015048,29236,1050005,1.129756767257003,1.445759844334578,2.117259165205331,1.035703710558413,1.320427260986743,1.503740123676031,2.116624591774949,1.959864807561480,3.814210438809957,4.898104994940653,0.405308353474032,0.617183856490003,0.840158438554872,0.844729587229742,0.612128835873104,0.416474380372156,0.418608540376550,0.596080306337553,0.703387552422058,0.674419439878164,0.628244730620329,0.531834982751342,0.495124460899035,0.430657408036525,0.255952643451907,8.018486476059775,6.986934884649397,10.402140055329995,8.620951949519151,10.958636572904630,2.685271455579696,17.003197353607983,8.010431563828632,9.000120267446028,9.995549292997541,22.000429151200570,20.962301915367945,13.485687269062587,8.131156202495610,21.739124373766497,14.015047588426465
0,14.037389,29462,1050005,1.238103502764387,1.311518732613855,1.348802689794050,1.288275334961604,1.279893051824188,1.313819174185693,1.803164119929654,2.051785155412573,4.555843165801606,4.953531449858484,0.418154274923144,0.584167769452232,0.749337279791652,0.999999999805540,0.656461555452352,0.648586987849550,0.407665060915940,0.602694430097183,0.832832846766295,0.999999926676361,0.622521887137161,0.606115767276272,0.489882545028804,0.301607949476184,0.291279542399801,12.195429072694103,6.852525434556773,13.340403668533623,7.732581409947365,3.103006845806825,3.015395664541700,9.210541735559987,8.565592012515981,24.890953098556813,9.560687496339031,6.447676912084570,20.672022936995187,11.325448906108325,24.386329001399111,24.044087930797079,14.037388670689292
1,14.037389,29500,1050005,1.238103502764387,1.311518732613855,1.348802689794050,1.288275334961604,1.279893051824188,1.313819174185693,1.803164119929654,2.051785155412573,4.555843165801606,4.953531449858484,0.418154274923144,0.584167769452232,0.749337279791652,0.999999999805540,0.656461555452352,0.648586987849550,0.407665060915940,0.602694430097183,0.832832846766295,0.999999926676361,0.622521887137161,0.606115767276272,0.489882545028804,0.301607949476184,0.291279542399801,12.195429072694103,6.852525434556773,13.340403668533623,7.732581409947365,3.103006845806825,3.015395664541700,9.210541735559987,8.565592012515981,24.890953098556813,9.560687496339031,6.447676912084570,20.672022936995187,11.325448906108325,24.386329001399111,24.044087930797079,14.037388670689292
